"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 29 08:04:27 UTC 2026","Thu Jan 29 08:04:27 UTC 2026","48","","com.wiremock.api.tests.UserApiTest","","com.wiremock.api.tests.UserApiTest","testPatchUser","testPatchUser()","Test patching a user with PATCH"
"passed","Thu Jan 29 08:04:27 UTC 2026","Thu Jan 29 08:04:27 UTC 2026","10","","com.wiremock.api.tests.UserApiTest","","com.wiremock.api.tests.UserApiTest","testGetUsersParameterized","testGetUsersParameterized(int) page: 2","Parameterized test for retrieving users from different pages"
"passed","Thu Jan 29 08:04:27 UTC 2026","Thu Jan 29 08:04:27 UTC 2026","10","","com.wiremock.api.tests.UserApiTest","","com.wiremock.api.tests.UserApiTest","testGetUserParameterized","Get user with ID User ID: 3","Parameterized test for retrieving different users by ID"
"passed","Thu Jan 29 08:04:27 UTC 2026","Thu Jan 29 08:04:27 UTC 2026","350","","com.wiremock.api.tests.UserApiTest","","com.wiremock.api.tests.UserApiTest","testGetUsers","testGetUsers()","Test retrieving a list of users from page 1"
"passed","Thu Jan 29 08:04:27 UTC 2026","Thu Jan 29 08:04:27 UTC 2026","13","","com.wiremock.api.tests.UserApiTest","","com.wiremock.api.tests.UserApiTest","testGetNonExistentUser","testGetNonExistentUser()","Test retrieving a user that does not exist"
"passed","Thu Jan 29 08:04:27 UTC 2026","Thu Jan 29 08:04:27 UTC 2026","34","","com.wiremock.api.tests.UserApiTest","","com.wiremock.api.tests.UserApiTest","testUpdateUser","testUpdateUser()","Test updating a user with PUT"
"passed","Thu Jan 29 08:04:27 UTC 2026","Thu Jan 29 08:04:27 UTC 2026","24","","com.wiremock.api.tests.UserApiTest","","com.wiremock.api.tests.UserApiTest","testGetUsersParameterized","testGetUsersParameterized(int) page: 1","Parameterized test for retrieving users from different pages"
"passed","Thu Jan 29 08:04:27 UTC 2026","Thu Jan 29 08:04:27 UTC 2026","41","","com.wiremock.api.tests.UserApiTest","","com.wiremock.api.tests.UserApiTest","testCreateUser","testCreateUser()","Test creating a new user"
"passed","Thu Jan 29 08:04:27 UTC 2026","Thu Jan 29 08:04:27 UTC 2026","11","","com.wiremock.api.tests.UserApiTest","","com.wiremock.api.tests.UserApiTest","testGetUser","testGetUser()","Test retrieving a single user by ID"
"passed","Thu Jan 29 08:04:27 UTC 2026","Thu Jan 29 08:04:27 UTC 2026","17","","com.wiremock.api.tests.UserApiTest","","com.wiremock.api.tests.UserApiTest","testGetUserParameterized","Get user with ID User ID: 2","Parameterized test for retrieving different users by ID"
"passed","Thu Jan 29 08:04:27 UTC 2026","Thu Jan 29 08:04:27 UTC 2026","8","","com.wiremock.api.tests.UserApiTest","","com.wiremock.api.tests.UserApiTest","testDeleteNonExistentUser","testDeleteNonExistentUser()","Test deleting a user that does not exist"
"passed","Thu Jan 29 08:04:27 UTC 2026","Thu Jan 29 08:04:27 UTC 2026","36","","com.wiremock.api.tests.UserApiTest","","com.wiremock.api.tests.UserApiTest","testUpdateNonExistentUser","testUpdateNonExistentUser()","Test updating a user that does not exist"
"passed","Thu Jan 29 08:04:27 UTC 2026","Thu Jan 29 08:04:27 UTC 2026","12","","com.wiremock.api.tests.UserApiTest","","com.wiremock.api.tests.UserApiTest","testGetUserParameterized","Get user with ID User ID: 1","Parameterized test for retrieving different users by ID"
"passed","Thu Jan 29 08:04:27 UTC 2026","Thu Jan 29 08:04:27 UTC 2026","9","","com.wiremock.api.tests.UserApiTest","","com.wiremock.api.tests.UserApiTest","testDeleteUser","testDeleteUser()","Test deleting a user"
